Unnamed: 0,Jumlah,Persentase,Kategori
,"[1709, 174]","['90.76%', '9.24%']","['Car', 'Truck']"
,"[1264, 136]","['90.29%', '9.71%']","['Car', 'Truck']"
,"[1264, 136]","['90.29%', '9.71%']","['Car', 'Truck']"
,"[1264, 136]","['90.29%', '9.71%']","['Car', 'Truck']"
,"[1264, 136]","['90.29%', '9.71%']","['Car', 'Truck']"
,"[1264, 136]","['90.29%', '9.71%']","['Car', 'Truck']"
,"[1264, 136]","['90.29%', '9.71%']","['Car', 'Truck']"
,"[1264, 136]","['90.29%', '9.71%']","['Car', 'Truck']"
,"[1364, 146]","['90.33%', '9.67%']","['Car', 'Truck']"
,"[1364, 146]","['90.33%', '9.67%']","['Car', 'Truck']"
,"[1364, 146]","['90.33%', '9.67%']","['Car', 'Truck']"
,"[1364, 146]","['90.33%', '9.67%']","['Car', 'Truck']"
,"[1364, 146]","['90.33%', '9.67%']","['Car', 'Truck']"
,"[1364, 146]","['90.33%', '9.67%']","['Car', 'Truck']"
,"[750, 750]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[1, 1]","['50.00%', '50.00%']","['Car', 'Truck']"
,"[26, 5]","['83.87%', '16.13%']","['Car', 'Truck']"
,"[26, 5]","['83.87%', '16.13%']","['Car', 'Truck']"
,"[26, 5]","['83.87%', '16.13%']","['Car', 'Truck']"
,"[26, 5]","['83.87%', '16.13%']","['Car', 'Truck']"
